tamMatriz,numProcesos,numHilos,repeticion,tiempo_seg
512,1,8,25,1.766628
512,1,8,26,1.763647
512,1,8,27,1.781117
512,1,8,28,1.762589
512,1,8,29,1.762251
512,1,8,30,1.749135
512,2,1,1,1.531681
512,2,1,2,1.560905
512,2,1,3,1.842901
512,2,1,4,1.571042
512,2,1,5,1.542398
512,2,1,6,1.494393
512,2,1,7,1.502935
512,2,1,8,1.478278
512,2,1,9,1.707524
512,2,1,10,1.925627
512,2,1,11,1.523629
512,2,1,12,1.568939
512,2,1,13,1.912033
512,2,1,14,1.800696
512,2,1,15,1.513901
512,2,1,16,1.489227
512,2,1,17,1.497371
512,2,1,18,1.779881
512,2,1,19,1.537238
512,2,1,20,1.702224
512,2,1,21,1.802310
512,2,1,22,1.526803
512,2,1,23,1.513680
512,2,1,24,1.555213
512,2,1,25,1.853532
512,2,1,26,1.538750
512,2,1,27,1.746329
512,2,1,28,1.725617
512,2,1,29,1.901157
512,2,1,30,1.558684
512,2,2,1,1.522298
512,2,2,2,1.560314
512,2,2,3,1.514930
512,2,2,4,1.813829
512,2,2,5,1.513803
512,2,2,6,1.837661
512,2,2,7,1.786150
512,2,2,8,1.601608
512,2,2,9,1.588082
512,2,2,10,1.544111
512,2,2,11,1.562434
512,2,2,12,1.846792
512,2,2,13,1.636700
512,2,2,14,1.736550
512,2,2,15,1.524960
512,2,2,16,1.808655
512,2,2,17,1.520180
512,2,2,18,1.730223
512,2,2,19,1.803885
512,2,2,20,1.553277
512,2,2,21,1.818468
512,2,2,22,1.903402
512,2,2,23,1.816155
512,2,2,24,1.539665
512,2,2,25,1.761051
512,2,2,26,1.467478
512,2,2,27,1.630491
512,2,2,28,1.549615
512,2,2,29,1.725306
512,2,2,30,1.485245
512,2,4,1,1.518519
512,2,4,2,1.688789
512,2,4,3,1.710582
512,2,4,4,1.915068
512,2,4,5,1.517893
512,2,4,6,1.609771
512,2,4,7,1.653310
512,2,4,8,1.728227
512,2,4,9,1.575820
512,2,4,10,1.825084
512,2,4,11,1.892323
512,2,4,12,1.787826
512,2,4,13,1.650301
512,2,4,14,1.709674
512,2,4,15,1.543216
512,2,4,16,1.625884
512,2,4,17,1.864120
512,2,4,18,1.798732
512,2,4,19,1.814650
512,2,4,20,1.774825
512,2,4,21,1.524515
512,2,4,22,1.795209
512,2,4,23,1.507182
512,2,4,24,1.898748
512,2,4,25,1.913840
512,2,4,26,1.484709
512,2,4,27,1.837349
512,2,4,28,1.765527
512,2,4,29,1.527364
512,2,4,30,1.969540
512,2,8,1,1.577939
512,2,8,2,1.660423
512,2,8,3,1.628594
512,2,8,4,1.555927
512,2,8,5,1.575003
512,2,8,6,1.557398
512,2,8,7,1.604036
512,2,8,8,1.505896
512,2,8,9,1.732120
512,2,8,10,1.877603
512,2,8,11,1.592371
512,2,8,12,1.508751
512,2,8,13,1.540490
512,2,8,14,1.577640
512,2,8,15,1.621505
