tamMatriz,np,workers,hilos,repeticion,tiempo_seg,estado
1024,3,2,4,1,2.076779,OK
1024,3,2,4,2,2.022318,OK
1024,3,2,4,3,2.114037,OK
1024,3,2,4,4,2.051372,OK
1024,3,2,4,5,2.093619,OK
1024,3,2,4,6,2.143183,OK
1024,3,2,4,7,2.397653,OK
1024,3,2,4,8,2.040437,OK
1024,3,2,4,9,2.081979,OK
1024,3,2,4,10,2.035859,OK
1024,3,2,4,11,2.081246,OK
1024,3,2,4,12,2.054102,OK
1024,3,2,4,13,2.056408,OK
1024,3,2,4,14,2.149873,OK
1024,3,2,4,15,2.059689,OK
1024,3,2,4,16,2.082719,OK
1024,3,2,4,17,2.069250,OK
1024,3,2,4,18,2.041672,OK
1024,3,2,4,19,2.061716,OK
1024,3,2,4,20,2.073415,OK
1024,3,2,4,21,2.036659,OK
1024,3,2,4,22,2.032820,OK
1024,3,2,4,23,2.066960,OK
1024,3,2,4,24,2.028888,OK
1024,3,2,4,25,2.042012,OK
1024,3,2,4,26,2.048568,OK
1024,3,2,4,27,2.117332,OK
1024,3,2,4,28,2.060014,OK
1024,3,2,4,29,2.041376,OK
1024,3,2,4,30,2.069311,OK
